Hash,Time,Amount BTC,Amount USD



20e721b6da691d0d4a1117a46ac60fc8ccee45137b482eac66c08b9f6e05cecc,19:11,0.00095760,$58.54
971d4e40201a5870e4b78d179988661d3e971de37f19a2841def813de3349840,19:11,0.00087922,$53.75
5ae5d859aa902981a44e14baa7295b38f1c27c6b056fc97663644e4071e72f1a,19:11,0.00080131,$48.98
a18c03a83ed9675ac496d6bc45599be21e3b31f4a9214b59803e02f41385082c,19:11,0.00072010,$44.02
4abd0e1ad3a520797aefb62761299b0ab70c9113e890ddf2be7af0442d763475,19:11,0.00068712,$42.00
98fa4d9cd0a0202562cbab715cb2f25a67ddabda7f548e4cc26e62cab1dea23e,19:11,0.00039035,$23.86
251df84735ea39bc6e47226a8e18738ed01377640c86f0503241cabdf7f291c5,19:11,0.00037094,$22.68
170a7bcd63d5ce32e9bfe7aae17c2bf42842446fa3e5c869b46fc942a4e6ea69,19:11,0.00016643,$10.17
9eaaa12caae4a3de8212c4ec9bb8f83bc850542c7f07e2a276df38ab02f32b4e,19:11,0.00007000,$4.28
86ac0ea48a301f87b54b68a8bcc61868b8d7ad3af5862fdd1f1427848eb19d83,19:11,0.00005836,$3.57



25b1bbcf9e814231e61e7ccb77ef066ae49130437665a906e2f16e50d7743e1f,19:12,0.00068258,$41.73
bb95b0b2cea73ea83f97ce9280cb4679de11d243725f4172eca9aa6f26081eb2,19:12,0.00063947,$39.09
39f6414fb94f03183c150ea4d07da110e5cbe2842c8e8fd20938f3c473cfb9c6,19:12,0.00062227,$38.04
f540749d71a13f6b0632223068a2a9d83e59b1c9bb70359bdb80866defac127a,19:12,0.00050079,$30.61
00be4e1e8b7dc1f3f3e9e36681dd9666ef476d258c38ac6eede651bf9343ecc5,19:12,0.00041764,$25.53
1f520c555368362016e097e687cfe50486d296862376588e5282a5dc057dfb93,19:12,0.00026741,$16.35
d11c9ad16e6a77a5010ae8fe51ec42ca677e339d3588558458af3557d09cd83e,19:12,0.00010797,$6.60
b1ba2bdb4bbefa4054486507bed3fc9bc28470bb5471243d670178c62a4b76c5,19:12,0.00007888,$4.82
e4e78072fb8d468a0eaec26c0d6946c79aa3f6ccce720cf1e2d28ee5a20a55b0,19:12,0.00004449,$2.72
ac384ea56b95edbbe14faa420c709900146035cd47fabe12a15f55d7843ecf35,19:12,0.00001553,$0.95



6b278d0138cd12e4e2af20731a172c08b4ac94a4937677298a9c9741033ebf20,19:13,0.00116766,$71.34
1e0e35902cc656b9f72662e9f4af5fcc34a11d5aa420376629546c88cb3c51de,19:13,0.00109582,$66.95
4382a16241ec6861f6451822233bf4a03c4088733a4b6c4faec7e24d68e78c49,19:13,0.00096831,$59.16
4832c58f3c78e177db448c9c55a11fcc3248b78fc63a3ec281e2e609f85c297d,19:13,0.00094581,$57.79
7e559d91da873b32455f3620b074be842a2b0d61d93548935061393d83941cb0,19:13,0.00083101,$50.77
ac9fb04b9a18fc7cedd01450ac4aa987d0ccc2a4171f99349e1c9a0234b8cd8d,19:13,0.00069738,$42.61
edc8282991381770f33563f72c3a2475c83a7a846110200833c5d7a7586a42fc,19:13,0.00058402,$35.68
